[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
75b0d3f29b1b   spark-worker-5   0.60%     337.5MiB / 1GiB     32.96%    13.4kB / 14.4kB   0B / 32.8kB       61
212495591b58   spark-master     0.38%     162.7MiB / 1GiB     15.89%    45kB / 46.5kB     69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     4.32%     331.1MiB / 1GiB     32.33%    153kB / 50.5kB    0B / 36.9kB       64
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   0.61%     337.5MiB / 1GiB     32.96%    13.5kB / 15.7kB   12.3kB / 32.8kB   62
8ee8b1918745   spark-worker-6   0.77%     336.8MiB / 1GiB     32.89%    13.5kB / 15.7kB   0B / 32.8kB       62
f279d8f9bfc6   spark-worker-4   0.80%     336.6MiB / 1GiB     32.87%    13.5kB / 15.7kB   65.5kB / 32.8kB   62
5412fb2fa9ee   spark-worker-1   0.84%     337.8MiB / 1GiB     32.99%    13.6kB / 15.7kB   12.3kB / 32.8kB   61
c59af1fb5af2   spark-worker-2   0.90%     339.5MiB / 1GiB     33.15%    13.4kB / 14.4kB   20.5kB / 32.8kB   61
75b0d3f29b1b   spark-worker-5   0.87%     337.5MiB / 1GiB     32.96%    13.5kB / 15.7kB   0B / 32.8kB       61
212495591b58   spark-master     1.70%     162.8MiB / 1GiB     15.90%    51.5kB / 46.9kB   69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     3.29%     331.1MiB / 1GiB     32.34%    329kB / 56.8kB    0B / 36.9kB       64
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
