[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
0f3921b142f1   spark-worker-1   0.38%     328MiB / 1GiB       32.03%    293MB / 326MB    2.53MB / 63.8MB   61
32b8509ddfd9   spark-worker-6   0.35%     345MiB / 1GiB       33.69%    307MB / 351MB    2.22MB / 52MB     60
dfa8d3d7f2a8   spark-worker-2   0.31%     272.2MiB / 1GiB     26.58%    341MB / 312MB    63.7MB / 205MB    61
67845b7d52e2   spark-worker-4   0.36%     335.6MiB / 1GiB     32.77%    301MB / 285MB    12.4MB / 56MB     61
ffd9bf1f6a5f   spark-worker-5   0.31%     218.6MiB / 1GiB     21.35%    319MB / 305MB    48.8MB / 216MB    61
6fcd49ee3b4b   spark-master     0.24%     175.6MiB / 1GiB     17.15%    822kB / 188kB    1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
167af3246f06   spark-driver     7.64%     338MiB / 1GiB       33.01%    6.68MB / 113kB   7.19MB / 36.9kB   64
11964334ba78   spark-worker-3   0.34%     338.7MiB / 1GiB     33.07%    330MB / 305MB    7.99MB / 71.1MB   61
0f3921b142f1   spark-worker-1   0.46%     328MiB / 1GiB       32.03%    293MB / 326MB    2.53MB / 63.8MB   61
32b8509ddfd9   spark-worker-6   0.33%     345MiB / 1GiB       33.69%    307MB / 351MB    2.22MB / 52MB     60
dfa8d3d7f2a8   spark-worker-2   0.47%     272.2MiB / 1GiB     26.58%    341MB / 312MB    63.7MB / 205MB    61
67845b7d52e2   spark-worker-4   0.33%     335.6MiB / 1GiB     32.77%    301MB / 285MB    12.4MB / 56MB     61
ffd9bf1f6a5f   spark-worker-5   0.36%     218.6MiB / 1GiB     21.35%    319MB / 305MB    48.8MB / 216MB    61
6fcd49ee3b4b   spark-master     0.23%     175.6MiB / 1GiB     17.15%    822kB / 188kB    1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
167af3246f06   spark-driver     7.64%     338MiB / 1GiB       33.01%    6.68MB / 113kB   7.19MB / 36.9kB   64
11964334ba78   spark-worker-3   0.34%     338.7MiB / 1GiB     33.07%    330MB / 305MB    7.99MB / 71.1MB   61
0f3921b142f1   spark-worker-1   0.46%     328MiB / 1GiB       32.03%    293MB / 326MB    2.53MB / 63.8MB   61
32b8509ddfd9   spark-worker-6   0.33%     345MiB / 1GiB       33.69%    307MB / 351MB    2.22MB / 52MB     60
dfa8d3d7f2a8   spark-worker-2   0.47%     272.2MiB / 1GiB     26.58%    341MB / 312MB    63.7MB / 205MB    61
67845b7d52e2   spark-worker-4   0.33%     335.6MiB / 1GiB     32.77%    301MB / 285MB    12.4MB / 56MB     61
ffd9bf1f6a5f   spark-worker-5   0.36%     218.6MiB / 1GiB     21.35%    319MB / 305MB    48.8MB / 216MB    61
6fcd49ee3b4b   spark-master     0.23%     175.6MiB / 1GiB     17.15%    822kB / 188kB    1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
167af3246f06   spark-driver     13.23%    339.2MiB / 1GiB     33.13%    8.06MB / 115kB   7.19MB / 36.9kB   64
11964334ba78   spark-worker-3   0.34%     338.7MiB / 1GiB     33.07%    330MB / 305MB    7.99MB / 71.1MB   61
0f3921b142f1   spark-worker-1   0.32%     328MiB / 1GiB       32.03%    293MB / 326MB    2.53MB / 63.8MB   61
32b8509ddfd9   spark-worker-6   0.36%     345MiB / 1GiB       33.69%    307MB / 351MB    2.22MB / 52MB     60
dfa8d3d7f2a8   spark-worker-2   0.39%     272.2MiB / 1GiB     26.58%    341MB / 312MB    63.7MB / 205MB    61
67845b7d52e2   spark-worker-4   0.35%     335.6MiB / 1GiB     32.77%    301MB / 285MB    12.4MB / 56MB     61
ffd9bf1f6a5f   spark-worker-5   0.34%     218.6MiB / 1GiB     21.35%    319MB / 305MB    48.8MB / 216MB    61
6fcd49ee3b4b   spark-master     0.20%     175.6MiB / 1GiB     17.15%    822kB / 188kB    1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
167af3246f06   spark-driver     13.23%    339.2MiB / 1GiB     33.13%    8.06MB / 115kB   7.19MB / 36.9kB   64
11964334ba78   spark-worker-3   0.34%     338.7MiB / 1GiB     33.07%    330MB / 305MB    7.99MB / 71.1MB   61
0f3921b142f1   spark-worker-1   0.32%     328MiB / 1GiB       32.03%    293MB / 326MB    2.53MB / 63.8MB   61
32b8509ddfd9   spark-worker-6   0.36%     345MiB / 1GiB       33.69%    307MB / 351MB    2.22MB / 52MB     60
dfa8d3d7f2a8   spark-worker-2   0.39%     272.2MiB / 1GiB     26.58%    341MB / 312MB    63.7MB / 205MB    61
67845b7d52e2   spark-worker-4   0.35%     335.6MiB / 1GiB     32.77%    301MB / 285MB    12.4MB / 56MB     61
ffd9bf1f6a5f   spark-worker-5   0.34%     218.6MiB / 1GiB     21.35%    319MB / 305MB    48.8MB / 216MB    61
6fcd49ee3b4b   spark-master     0.20%     175.6MiB / 1GiB     17.15%    822kB / 188kB    1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
167af3246f06   spark-driver     6.73%     339.1MiB / 1GiB     33.12%    9.19MB / 116kB   7.19MB / 36.9kB   64
