[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
4896f71aef73   spark-worker-5   1.46%     358.2MiB / 1GiB     34.98%    200MB / 171MB    19MB / 14.4MB     61
f34e9addb485   spark-worker-1   4.91%     266.1MiB / 1GiB     25.98%    197MB / 187MB    124MB / 289MB     61
a5264a101823   spark-master     0.11%     173.1MiB / 1GiB     16.91%    476kB / 119kB    1.76MB / 664kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
1ceec149a78c   spark-driver     99.44%    473.9MiB / 1GiB     46.28%    1.71MB / 4.3MB   83.6MB / 1.69MB   66
00e68c3d4611   spark-worker-6   2.30%     242.4MiB / 1GiB     23.67%    174MB / 197MB    286MB / 592MB     60
73bf2fc7d910   spark-worker-4   0.38%     355.7MiB / 1GiB     34.74%    160MB / 177MB    13.9MB / 25.1MB   61
f841a1fea1b2   spark-worker-2   0.44%     346.8MiB / 1GiB     33.87%    153MB / 168MB    10.6MB / 12.8MB   60
4e5b5483ed2f   spark-worker-3   0.47%     393.7MiB / 1GiB     38.45%    170MB / 153MB    56.7MB / 27.6MB   61
4896f71aef73   spark-worker-5   1.46%     358.2MiB / 1GiB     34.98%    200MB / 171MB    19MB / 14.4MB     61
f34e9addb485   spark-worker-1   4.91%     266.1MiB / 1GiB     25.98%    197MB / 187MB    124MB / 289MB     61
a5264a101823   spark-master     0.11%     173.1MiB / 1GiB     16.91%    476kB / 119kB    1.76MB / 664kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     84.40%    491.8MiB / 1GiB     48.03%    1.72MB / 4.37MB   85.3MB / 1.69MB   67
00e68c3d4611   spark-worker-6   39.32%    263.6MiB / 1GiB     25.74%    174MB / 197MB     286MB / 592MB     62
73bf2fc7d910   spark-worker-4   42.60%    377.5MiB / 1GiB     36.87%    160MB / 177MB     13.9MB / 25.1MB   63
f841a1fea1b2   spark-worker-2   0.16%     346.8MiB / 1GiB     33.87%    153MB / 168MB     10.6MB / 12.8MB   60
4e5b5483ed2f   spark-worker-3   0.18%     393.7MiB / 1GiB     38.45%    170MB / 153MB     56.7MB / 27.6MB   61
4896f71aef73   spark-worker-5   42.48%    378.5MiB / 1GiB     36.96%    200MB / 171MB     19MB / 14.4MB     63
f34e9addb485   spark-worker-1   40.02%    282.6MiB / 1GiB     27.60%    198MB / 187MB     124MB / 289MB     63
a5264a101823   spark-master     0.09%     173.1MiB / 1GiB     16.91%    476kB / 119kB     1.76MB / 664kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     84.40%    491.8MiB / 1GiB     48.03%    1.72MB / 4.37MB   85.3MB / 1.69MB   67
00e68c3d4611   spark-worker-6   39.32%    263.6MiB / 1GiB     25.74%    174MB / 197MB     286MB / 592MB     62
73bf2fc7d910   spark-worker-4   42.60%    377.5MiB / 1GiB     36.87%    160MB / 177MB     13.9MB / 25.1MB   63
f841a1fea1b2   spark-worker-2   0.16%     346.8MiB / 1GiB     33.87%    153MB / 168MB     10.6MB / 12.8MB   60
4e5b5483ed2f   spark-worker-3   0.18%     393.7MiB / 1GiB     38.45%    170MB / 153MB     56.7MB / 27.6MB   61
4896f71aef73   spark-worker-5   42.48%    378.5MiB / 1GiB     36.96%    200MB / 171MB     19MB / 14.4MB     63
f34e9addb485   spark-worker-1   40.02%    282.6MiB / 1GiB     27.60%    198MB / 187MB     124MB / 289MB     63
a5264a101823   spark-master     0.09%     173.1MiB / 1GiB     16.91%    476kB / 119kB     1.76MB / 664kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     2.77%     493.1MiB / 1GiB     48.16%    1.73MB / 4.45MB   85.3MB / 1.69MB   67
